,Temperature / K,Resistivity / Ohm (H = 0T),Resistivity /Ohm (H = 5T)
0,0.05271949059328744,0.30996754317099484,0.3789820612697968
1,0.22472503610256298,0.3048602641378053,0.399257616919655
2,0.3849422175634769,0.20589918183815742,0.43864762487062353
3,0.5307358457296345,0.3577839357812114,0.49180845575177556
4,0.6885701953615323,0.3558674263207834,0.4672871316270571
5,0.8431179457855024,0.2575995100845245,0.47939091640580783
6,1.010891812989901,0.5421142075676213,0.4409331679735845
7,1.163664388163683,0.39890878045938694,0.49841488181484705
8,1.3358040324360112,0.4630002101213297,0.6070935069096759
9,1.473287291156629,0.4765344865082686,0.2846370679250204
10,1.64640601402427,0.48124795756838024,0.5042670085723389
11,1.8014685490851536,0.5891700565603777,0.5428850788762478
12,1.9514616068087438,0.634389587822999,0.6951945780291611
13,2.13420820270785,0.3055449704946763,0.6041055940473652
14,2.277295808834286,0.5297550848709303,0.5901286844282688
15,2.4422469789715127,0.793356257835976,0.5507688597027357
16,2.5796025552342146,0.4878685648163348,0.6379641363373891
17,2.757542889297692,0.7107091541327966,0.645047118217807
18,2.902831410524268,0.6539072563111583,0.834032125376821
19,3.068317915000424,0.8243275674311101,0.7046643188942077
20,3.2386467400602776,0.8149685653894146,0.6893871323955192
21,3.405953372594274,0.7870823591031444,0.5725568917877338
22,3.555616401867734,0.9607736013414743,1.0507767665129868
23,3.7084633622244665,1.0197159009812744,1.0094055140620688
24,3.865205709926317,1.1070483414012815,0.9823212507195833
25,4.01579604616315,0.9419473210536256,0.9124944702203825
26,4.179658753629563,1.067867857465283,0.7631049200343364
27,4.345170314494636,1.2113271107625334,1.0399362497672493
28,4.508335267974302,1.2735088599919857,1.0479389725210217
29,4.645214885038021,1.3297259176726488,1.117251196878275
30,4.802406808115792,1.5682495165406867,1.1951837886618482
31,4.972666202547797,1.5693811101796349,1.220938385737128
32,5.120435084174333,1.4496066923416007,1.1579795038740035
33,5.302651158631539,1.631298546442598,1.2099346740801942
34,5.436562440832021,1.7008150740477745,1.1959474808377002
35,5.603230705373665,1.5620525505014384,1.1087291110071613
36,5.764638057407959,1.874800515972088,1.2956729074676687
37,5.928871680378904,2.0954473594234724,1.3404240424057072
38,6.0784021701554884,2.0090254967223706,1.4426336538316007
39,6.20601051111926,2.073662228510464,1.3958259907793364
40,6.392688077473443,2.3008649747051124,1.6247934718615373
41,6.5605899146038675,2.3125248902235573,1.2919622154945136
42,6.696440424715623,2.488271292695459,1.4052274744863014
43,6.859537709769008,2.4664763528608153,1.4834964288086194
44,7.020428611954436,2.3933483523649954,1.6366730362794866
45,7.181900923765278,2.5587172128327382,1.620499702540191
46,7.331297974203171,2.7658878181503215,1.6753192448930285
47,7.48485773304188,3.0684016809116272,1.7043935976099946
48,7.6687470155342,2.992423030338406,1.6745147217546914
49,7.797323600118538,2.9777739480933594,1.6139884183627504
50,7.964338230916296,3.0254806779853483,1.8267135567211303
51,8.12811280128556,3.3310443664310725,1.9840403442629009
52,8.299381105897425,3.5964896654048872,1.7675804758529112
53,8.458832423641425,3.587681356025269,1.9037633832756535
54,8.600282316879175,3.757902080107684,1.7480444152558434
55,8.769629554578446,3.8531365740499037,1.9820298290205776
56,8.912561867085447,4.056610643466811,2.0979447315347786
57,9.078798251888315,3.8703681908708334,2.1447643516618524
58,9.230846855349673,4.238289323042574,2.0234061976387774
59,9.40774306636742,4.347081868833851,2.2013425050108317
60,9.532618561435385,4.35613997615436,2.124875975834627
61,9.705743323005485,4.410840554490412,2.3061244078009606
62,9.888736431520396,4.463703890713639,2.3286004117967063
63,10.040356580321713,4.7977424012727,2.2887002077137835
64,10.18493418880234,4.943989010829404,2.44579553180889
65,10.3265402149428,5.029081842067009,2.5537902942751862
66,10.506588595399005,5.241124813055425,2.6334726111993247
67,10.669978854563851,5.237317766710365,2.559521364164429
68,10.823909114892386,5.501986987515032,2.671078240568682
69,10.96645799149718,5.704049734656709,2.642919723760855
70,11.139316745530879,5.794616348813069,2.916052318847197
71,11.287181051337836,6.000556156944026,2.612942931433167
72,11.441973800059756,6.0794506472720515,2.5989081422847007
73,11.606737919290259,6.198693669599822,2.73795906065895
74,11.748075423550484,6.332761401932429,3.0617096865146474
75,11.918849592699948,6.498112410499398,2.960501985414301
76,12.087237364864158,6.680255267450705,3.0707305793542363
77,12.246991294866705,6.727478465238955,3.1062232143483928
78,12.414619821716467,6.922543971797833,3.260864858178983
79,12.575931464884532,7.254707467657795,3.1011695189085193
80,12.735503414688367,7.23137576262419,3.366165140422011
81,12.885431704945022,7.401217941492916,3.1859725405332733
82,13.052771657546101,7.732889182246225,3.338865083766723
83,13.198287950222918,7.938375399896632,3.547630704906086
84,13.362986100281336,7.9219899957466975,3.4804428254280455
85,13.520532820075841,8.196051863456644,3.422606990323873
86,13.673184353511331,8.256556684553045,3.5611635875336347
87,13.830533033376184,8.52665009989908,3.619761625976591
88,13.988710212766502,8.781983018385157,3.4851634366698767
89,14.151339285394585,8.975847770555115,3.6742455189619556
90,14.304140592540508,8.927352719294058,3.765803650807787
91,14.454571501836195,9.249996212254153,3.730353173572434
92,14.622976848816737,9.299746877047248,3.939479049829319
93,14.772444205875864,9.677077071091297,3.9485752811550254
94,14.931952163591287,9.96499773787816,3.8337206999228592
95,15.102116946331702,10.043262608789174,3.9956471018837263
96,15.260973082979369,10.235427922371159,4.076557790961524
97,15.404706850005269,10.400026901691225,4.217961600645633
98,15.553010489759481,10.645504808256716,4.298135033273421
99,15.7334368403442,10.677238778046931,3.975380032272597
100,15.886258425553091,11.129748334530214,4.327205485900641
101,16.03720046949629,11.224587505893261,4.334164113779256
102,16.194679709374885,11.497196963208152,4.444672645409967
103,16.344522538291464,11.789120690960479,4.382915923741076
104,16.51916766634302,11.933527192453308,4.415497257945066
105,16.686681335083605,12.087173555883444,4.544502207811734
106,16.82638962824334,12.429712427510806,4.550364887580238
107,16.998402047007136,12.383507537309654,4.668424965023842
108,17.151529614974244,12.743202088556624,4.708677775222298
109,17.31416196201353,13.203252128974585,4.82555918363899
110,17.453677960326146,13.194033146346243,4.814531383666392
111,17.616264895795496,13.33508640412532,4.926735106127387
112,17.789780067191344,13.635256070806808,5.116591044264642
113,17.924209901847764,13.956929920696197,5.1976755110613935
114,18.114395730470367,14.180660322380204,5.231136104418795
115,18.25423786801113,14.325553607249752,5.068945106759729
116,18.3962832795931,14.61985323230288,5.282043721770272
117,18.593761223179072,14.902418136454052,5.460808720911633
118,18.73326301671397,15.130346858015931,5.550406299202107
119,18.881006837548995,15.287832174627676,5.552192212575836
120,19.043115984566903,15.524716931404575,5.60508970475168
121,19.223922847589016,15.654349349345793,5.665034038753802
122,19.37450648412447,15.980166212263462,5.710944610106849
123,19.509749252904392,16.155603088248867,5.627777435518007
124,19.68016921466752,16.310573534666613,5.957991054721783
125,19.836273394641726,16.76932942008335,5.797130795687282
126,20.0031324539527,17.004163834326878,5.969161917938321
